,,,,,, Total facturas, Total pagado,Saldo,,,,,,,,,
,,,,,," $ 5,028,913.17 "," $ 2,704,030.14 ","$2,324,883.03",,,,,,,,,
Proveedor,Proveedor 2,Ubicacion,No. Factura,Fecha,Vence, Total de Factura, Total de pago,Fecha de pago, Saldo x proveedor, Mes de vencido, % de descuento financiero, Descuento financiero, Monto de factura despues de descuento financiero,,,,
CONVERGRAM DE MEXICO,,ENSENADA, AGD-511441,26/2/2026,11/5/2026," $ 2,626.24 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO, AGD-510883,10/2/2026,11/5/2026," $ 1,990.56 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO, AGD-510886,10/2/2026,11/5/2026," $ 20,838.24 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO, AGD-510975,12/2/2026,11/5/2026," $ 1,990.56 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-511174,19/2/2026,11/5/2026," $ 7,164.16 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-511175,19/2/2026,11/5/2026," $ 2,081.04 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-511177,19/2/2026,11/5/2026," $ 2,306.08 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO,  AGD-512231,24/3/2026,11/5/2026," $ 1,748.12 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,ENSENADA, AGD-512238,24/3/2026,11/5/2026," $ 4,931.16 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-512256,24/3/2026,11/5/2026," $ 3,287.44 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-512217,24/3/2026,11/5/2026," $ 5,672.40 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-512218,24/3/2026,11/5/2026," $ 8,218.60 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513760,15/4/2026,15/5/2026, $ 337.79 ,,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513761,15/4/2026,15/5/2026, $ 662.07 ,,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513762,15/4/2026,15/5/2026, $ 211.12 ,,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO, AGD-513763,15/4/2026,15/5/2026, $ 422.24 ,,,,,,,,,,,
CONVERGRAM DE MEXICO,,RIO, AGD-513764,15/4/2026,15/5/2026, $ 794.48 ," $ 157,846.59 ",17/6/2026,,,,,,,,,
CONVERGRAM DE MEXICO,,ENSENADA, AGD-513765,15/4/2026,15/5/2026," $ 3,496.24 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,ENSENADA, AGD-513766,15/4/2026,15/5/2026," $ 4,464.84 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513767,15/4/2026,15/5/2026," $ 4,770.38 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513768,15/4/2026,15/5/2026," $ 2,419.99 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513769,15/4/2026,15/5/2026," $ 3,586.95 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513753,15/4/2026,15/5/2026," $ 11,580.40 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513754,15/4/2026,15/5/2026," $ 1,657.87 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513755,15/4/2026,15/5/2026," $ 17,277.50 ",,,,,,,,,,,
CONVERGRAM DE MEXICO,,INSURGENTES, AGD-513756,15/4/2026,15/5/2026," $ 2,365.70 ",,,,,,,,,,,
